ANIO,MES,FECHA,FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_TOTAL_E
2013,05,15MAY2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,864",,"4,864"
2013,06,15JUN2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,806",,"4,806"
2013,07,15JUL2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,718",,"4,718"
2013,08,15AUG2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,662",6,"4,668"
2013,09,15SEP2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,586",15,"4,601"
2013,10,15OCT2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,556",52,"4,608"
2013,11,15NOV2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,473",106,"4,579"
2013,12,15DEC2013,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,414",124,"4,538"
2014,01,15JAN2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,119",131,"4,250"
2014,02,15FEB2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"4,055",141,"4,196"
2014,03,15MAR2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,972",150,"4,122"
2014,04,15APR2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,905",160,"4,065"
2014,05,15MAY2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,845",172,"4,017"
2014,06,15JUN2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,788",182,"3,970"
2014,07,15JUL2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,727",184,"3,911"
2014,08,15AUG2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,686",192,"3,878"
2014,09,15SEP2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,635",188,"3,823"
2014,10,15OCT2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,581",202,"3,783"
2014,11,15NOV2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,523",212,"3,735"
2014,12,15DEC2014,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"2,868",214,"3,082"
2015,01,15JAN2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,413",226,"3,639"
2015,02,15FEB2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,451",260,"3,711"
2015,03,15MAR2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,308",277,"3,585"
2015,04,15APR2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,309","3,105","6,414"
2015,05,15MAY2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,283","3,032","6,315"
2015,06,15JUN2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"3,219","2,955","6,174"
2015,07,15JUL2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"2,691","6,182","8,873"
2015,08,15AUG2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"2,648","6,356","9,004"
2015,09,15SEP2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"2,598","6,543","9,141"
2015,10,15OCT2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"1,810","5,583","7,393"
2015,11,15NOV2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"1,761","5,593","7,354"
2015,12,15DEC2015,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,"1,714","5,607","7,321"
2016,01,15JAN2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,665","5,619","7,284"
2016,02,15FEB2016,100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,"1,617","5,634","7,251"
