ANIO,MES,FECHA,K_GRUPO,GRUPO,MARKET_SHARE
2014,06,15JUN2014,C087,CABLECOM,1.796%
2014,06,15JUN2014,G001,AXTEL,3.897%
2014,06,15JUN2014,G006,AMÉRICA MÓVIL,69.461%
2014,06,15JUN2014,C054,AXESAT,0.040%
2014,06,15JUN2014,C020,ALESTRA,0.031%
2014,06,15JUN2014,C639,CABLEVISION RED,0.910%
2014,06,15JUN2014,C584,TOTALPLAY,0.835%
2014,06,15JUN2014,C373,MAXCOM,1.260%
2014,06,15JUN2014,G008,MEGACABLE-MCM,7.648%
2014,06,15JUN2014,G004,GRUPO TELEVISA,14.057%
2014,06,15JUN2014,C010,AIRECABLE,0.007%
2014,06,15JUN2014,C611,ULTRAVISION,0.007%
2014,06,15JUN2014,C599,TV REY,0.052%
2014,07,15JUL2014,G008,MEGACABLE-MCM,7.790%
2014,07,15JUL2014,C639,CABLEVISION RED,0.929%
2014,07,15JUL2014,C010,AIRECABLE,0.007%
2014,07,15JUL2014,G004,GRUPO TELEVISA,14.094%
2014,07,15JUL2014,C020,ALESTRA,0.030%
2014,07,15JUL2014,C087,CABLECOM,1.821%
2014,07,15JUL2014,C054,AXESAT,0.040%
2014,07,15JUL2014,G001,AXTEL,3.874%
2014,07,15JUL2014,C584,TOTALPLAY,0.887%
2014,07,15JUL2014,C611,ULTRAVISION,0.007%
2014,07,15JUL2014,C599,TV REY,0.052%
2014,07,15JUL2014,C373,MAXCOM,1.260%
2014,07,15JUL2014,G006,AMÉRICA MÓVIL,69.209%
2014,08,15AUG2014,C599,TV REY,0.054%
2014,08,15AUG2014,G008,MEGACABLE-MCM,8.011%
2014,08,15AUG2014,C584,TOTALPLAY,0.927%
2014,08,15AUG2014,G004,GRUPO TELEVISA,16.091%
2014,08,15AUG2014,C020,ALESTRA,0.029%
2014,08,15AUG2014,C373,MAXCOM,1.269%
2014,08,15AUG2014,G001,AXTEL,3.841%
2014,08,15AUG2014,C010,AIRECABLE,0.007%
2014,08,15AUG2014,C639,CABLEVISION RED,0.951%
2014,08,15AUG2014,C054,AXESAT,0.040%
2014,08,15AUG2014,C611,ULTRAVISION,0.007%
2014,08,15AUG2014,G006,AMÉRICA MÓVIL,68.774%
2014,09,15SEP2014,G004,GRUPO TELEVISA,16.146%
2014,09,15SEP2014,C054,AXESAT,0.040%
2014,09,15SEP2014,C020,ALESTRA,0.029%
2014,09,15SEP2014,G008,MEGACABLE-MCM,8.205%
2014,09,15SEP2014,G001,AXTEL,3.809%
2014,09,15SEP2014,C010,AIRECABLE,0.007%
2014,09,15SEP2014,C639,CABLEVISION RED,0.968%
2014,09,15SEP2014,C373,MAXCOM,1.272%
2014,09,15SEP2014,C611,ULTRAVISION,0.007%
2014,09,15SEP2014,C599,TV REY,0.055%
2014,09,15SEP2014,C584,TOTALPLAY,0.975%
2014,09,15SEP2014,G006,AMÉRICA MÓVIL,68.489%
2014,10,15OCT2014,C373,MAXCOM,1.264%
2014,10,15OCT2014,C584,TOTALPLAY,1.017%
2014,10,15OCT2014,G008,MEGACABLE-MCM,8.386%
2014,10,15OCT2014,C010,AIRECABLE,0.007%
2014,10,15OCT2014,G004,GRUPO TELEVISA,16.319%
2014,10,15OCT2014,G006,AMÉRICA MÓVIL,68.122%
2014,10,15OCT2014,C020,ALESTRA,0.028%
2014,10,15OCT2014,C599,TV REY,0.057%
2014,10,15OCT2014,C054,AXESAT,0.029%
2014,10,15OCT2014,C639,CABLEVISION RED,0.985%
