FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,K_ENTIDAD,ENTIDAD,FECHA,ANIO,MES,K_ACCESO_INTERNET,TECNO_ACCESO_INTERNET,A_TOTAL_E,A_RESIDENCIAL_E,A_NO_RESIDENCIAL_E
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15JUL2016,2016,07,03,Fibra Óptica,116,,116
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15AUG2016,2016,08,03,Fibra Óptica,117,,117
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15SEP2016,2016,09,03,Fibra Óptica,119,,119
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15OCT2016,2016,10,03,Fibra Óptica,121,,121
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15NOV2016,2016,11,03,Fibra Óptica,122,,122
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,01,Aguascalientes,15DEC2016,2016,12,03,Fibra Óptica,124,,124
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15JUL2015,2015,07,03,Fibra Óptica,100,,100
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15AUG2015,2015,08,03,Fibra Óptica,105,,105
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15SEP2015,2015,09,03,Fibra Óptica,130,,130
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15OCT2015,2015,10,03,Fibra Óptica,136,,136
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15NOV2015,2015,11,03,Fibra Óptica,142,,142
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,02,Baja California,15DEC2015,2015,12,03,Fibra Óptica,148,,148
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15JAN2016,2016,01,03,Fibra Óptica,154,,154
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15FEB2016,2016,02,03,Fibra Óptica,161,,161
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15MAR2016,2016,03,03,Fibra Óptica,167,,167
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15APR2016,2016,04,03,Fibra Óptica,173,,173
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15MAY2016,2016,05,03,Fibra Óptica,179,,179
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15JUN2016,2016,06,03,Fibra Óptica,185,,185
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15JUL2016,2016,07,03,Fibra Óptica,201,,201
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15AUG2016,2016,08,03,Fibra Óptica,203,,203
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15SEP2016,2016,09,03,Fibra Óptica,207,,207
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15OCT2016,2016,10,03,Fibra Óptica,211,,211
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15NOV2016,2016,11,03,Fibra Óptica,214,,214
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,02,Baja California,15DEC2016,2016,12,03,Fibra Óptica,218,,218
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,03,Baja California Sur,15JUL2015,2015,07,03,Fibra Óptica,1,,1
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,03,Baja California Sur,15AUG2015,2015,08,03,Fibra Óptica,1,,1
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,03,Baja California Sur,15SEP2015,2015,09,03,Fibra Óptica,1,,1
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,03,Baja California Sur,15OCT2015,2015,10,03,Fibra Óptica,2,,2
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,03,Baja California Sur,15NOV2015,2015,11,03,Fibra Óptica,2,,2
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,03,Baja California Sur,15DEC2015,2015,12,03,Fibra Óptica,3,,3
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15JAN2016,2016,01,03,Fibra Óptica,3,,3
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15FEB2016,2016,02,03,Fibra Óptica,4,,4
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15MAR2016,2016,03,03,Fibra Óptica,5,,5
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15APR2016,2016,04,03,Fibra Óptica,5,,5
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15MAY2016,2016,05,03,Fibra Óptica,6,,6
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15JUN2016,2016,06,03,Fibra Óptica,6,,6
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15JUL2016,2016,07,03,Fibra Óptica,7,,7
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15AUG2016,2016,08,03,Fibra Óptica,7,,7
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15SEP2016,2016,09,03,Fibra Óptica,8,,8
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15OCT2016,2016,10,03,Fibra Óptica,8,,8
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15NOV2016,2016,11,03,Fibra Óptica,8,,8
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,03,Baja California Sur,15DEC2016,2016,12,03,Fibra Óptica,8,,8
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,04,Campeche,15JUL2015,2015,07,03,Fibra Óptica,23,,23
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,04,Campeche,15AUG2015,2015,08,03,Fibra Óptica,23,,23
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,04,Campeche,15SEP2015,2015,09,03,Fibra Óptica,33,,33
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,04,Campeche,15OCT2015,2015,10,03,Fibra Óptica,30,,30
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,04,Campeche,15NOV2015,2015,11,03,Fibra Óptica,27,,27
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,04,Campeche,15DEC2015,2015,12,03,Fibra Óptica,24,,24
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15JAN2016,2016,01,03,Fibra Óptica,21,,21
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15FEB2016,2016,02,03,Fibra Óptica,18,,18
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15MAR2016,2016,03,03,Fibra Óptica,15,,15
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15APR2016,2016,04,03,Fibra Óptica,12,,12
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15MAY2016,2016,05,03,Fibra Óptica,9,,9
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15JUN2016,2016,06,03,Fibra Óptica,6,,6
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15JUL2016,2016,07,03,Fibra Óptica,47,,47
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15AUG2016,2016,08,03,Fibra Óptica,48,,48
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15SEP2016,2016,09,03,Fibra Óptica,48,,48
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15OCT2016,2016,10,03,Fibra Óptica,49,,49
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15NOV2016,2016,11,03,Fibra Óptica,49,,49
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,G009,AXTEL,04,Campeche,15DEC2016,2016,12,03,Fibra Óptica,50,,50
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,05,Coahuila de Zaragoza,15JUL2015,2015,07,03,Fibra Óptica,124,,124
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,05,Coahuila de Zaragoza,15AUG2015,2015,08,03,Fibra Óptica,125,,125
100415,"ALESTRA, S. DE R.L. DE C.V.",C020,ALESTRA,C020,ALESTRA,05,Coahuila de Zaragoza,15SEP2015,2015,09,03,Fibra Óptica,130,,130
