ANIO,MES,FECHA,K_ACCESO_INTERNET,TECNO_ACCESO_INTERNET,A_TOTAL_E
2018,02,15/02/2018,99,Sin tecnología,"273,744"
2018,03,15/03/2018,99,Sin tecnología,"275,540"
2018,04,15/04/2018,99,Sin tecnología,"278,455"
2018,05,15/05/2018,99,Sin tecnología,"280,810"
2018,06,15/06/2018,99,Sin tecnología,"280,866"
2018,07,15/07/2018,99,Sin tecnología,"269,709"
2018,08,15/08/2018,99,Sin tecnología,"271,439"
2018,09,15/09/2018,99,Sin tecnología,"273,051"
2018,10,15/10/2018,99,Sin tecnología,"419,408"
2018,11,15/11/2018,99,Sin tecnología,"425,738"
2018,12,15/12/2018,99,Sin tecnología,"431,393"
2019,01,15/01/2019,99,Sin tecnología,"447,166"
2019,02,15/02/2019,99,Sin tecnología,"434,814"
2019,03,15/03/2019,99,Sin tecnología,"435,692"
2019,04,15/04/2019,99,Sin tecnología,"475,083"
2019,05,15/05/2019,99,Sin tecnología,"485,778"
2019,06,15/06/2019,99,Sin tecnología,"496,383"
