FOLIO,CONCESIONARIO,FECHA,ANIO,MES,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,A_TOTAL_E,A_V1_E,A_V2_E,A_V3_E,A_V4_E
100405,"ULTRAVISION, S.A. DE C.V.",15MAR2019,2019,03,C611,ULTRAVISION,C611,ULTRAVISION,"4,415",,"4,371",35,9
100405,"ULTRAVISION, S.A. DE C.V.",15APR2019,2019,04,C611,ULTRAVISION,C611,ULTRAVISION,"3,383",0,"3,349",27,7
100405,"ULTRAVISION, S.A. DE C.V.",15MAY2019,2019,05,C611,ULTRAVISION,C611,ULTRAVISION,"3,573",0,"3,538",28,7
100405,"ULTRAVISION, S.A. DE C.V.",15JUN2019,2019,06,C611,ULTRAVISION,C611,ULTRAVISION,"3,567",0,"3,532",28,7
100415,"ALESTRA, S. DE R.L. DE C.V.",15JAN2013,2013,01,C020,ALESTRA,C020,ALESTRA,"5,232","5,232",0,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15FEB2013,2013,02,C020,ALESTRA,C020,ALESTRA,"5,159","5,159",0,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAR2013,2013,03,C020,ALESTRA,C020,ALESTRA,"5,095","5,095",0,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15APR2013,2013,04,C020,ALESTRA,C020,ALESTRA,"4,946","4,946",0,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAY2013,2013,05,C020,ALESTRA,C020,ALESTRA,"4,864","4,864",0,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUN2013,2013,06,C020,ALESTRA,C020,ALESTRA,"4,806","4,806",0,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUL2013,2013,07,C020,ALESTRA,C020,ALESTRA,"4,718","4,718",0,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15AUG2013,2013,08,C020,ALESTRA,C020,ALESTRA,"4,668","4,667",1,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15SEP2013,2013,09,C020,ALESTRA,C020,ALESTRA,"4,601","4,596",5,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15OCT2013,2013,10,C020,ALESTRA,C020,ALESTRA,"4,608","4,590",18,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15NOV2013,2013,11,C020,ALESTRA,C020,ALESTRA,"4,579","4,537",42,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15DEC2013,2013,12,C020,ALESTRA,C020,ALESTRA,"4,538","4,490",48,0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15JAN2014,2014,01,C020,ALESTRA,C020,ALESTRA,"4,250","3,170","1,080",0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15FEB2014,2014,02,C020,ALESTRA,C020,ALESTRA,"4,196","3,132","1,064",0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAR2014,2014,03,C020,ALESTRA,C020,ALESTRA,"4,122","3,080","1,042",0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15APR2014,2014,04,C020,ALESTRA,C020,ALESTRA,"4,065","3,034","1,031",0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15MAY2014,2014,05,C020,ALESTRA,C020,ALESTRA,"4,017","3,003","1,014",0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUN2014,2014,06,C020,ALESTRA,C020,ALESTRA,"3,970","2,965","1,005",0,0
100415,"ALESTRA, S. DE R.L. DE C.V.",15JUL2014,2014,07,C020,ALESTRA,C020,ALESTRA,"3,911","2,923",988,0,0
